platformId;name;alternate_name;release;company;generation;type;family;retroCompatibility;locked
216;Philips VG5000;;1984;Philips;;Computer;;;1
12;PICO-8;;abr-15;Lexaloffle Games;8;Virtual console;;;0
7;Playdate;;18/04/2022;Panic;9;Handheld console;;;0
68;Playdia;;23/09/1994;Bandai;5;Home video game console;;;1
63;PlayStation;PS, PS1, PSX;03/12/1994;Sony;5;Home video game console;PlayStation;;1
44;PlayStation 2;PS2;04/03/2000;Sony;6;Home video game console;PlayStation;;1
25;PlayStation 3;PS3;11/11/2006;Sony;7;Home video game console;PlayStation;;
14;PlayStation 4;PS4;15/11/2013;Sony;8;Home video game console;PlayStation;;
1;PlayStation 5;PS5;12/11/2020;Sony;9;Home video game console;PlayStation;PS4;0
27;PlayStation Portable;PSP;12/12/2004;Sony;7;Handheld console;PlayStation;;
21;PlayStation Vita;PS Vita, Vita;17/12/2011;Sony;8;Handheld console;PlayStation;PSP (partial);1
52;Pok�mon Mini;;16/11/2001;Nintendo;6;Handheld console;;;1
157;Pong Consoles;;;;1;Home video game console;;;1
152;PP-1292 Advanced Programmable Video System;;1978;Audiosonic;2;Home video game console;1292 Advanced Programmable Video System;;1
102;PV-1000;;1983;Casio;3;Home video game console;;;1
103;PV-2000;;1984;Casio;;Computer;;;1
127;RCA Studio II;;ene-77;RCA;2;Home video game console;;;1
71;R-Zone;;1995;Tiger Electronics;5;Handheld console;;;1
228;SAM Coup�;;1989;Miles Gordon Technology;;Computer;;;1
88;Satellaview;;24/04/1995;Nintendo;4;Console accessory;SNES/SFC;;1
61;Sega 32X;32X;21/11/1994;Sega;5;Console accessory;Mega Drive/Sega Genesis;;1
62;Sega CD;;12/12/1991;Sega;4;Console accessory;Mega Drive/Sega Genesis;;1
60;Sega Saturn;;22/11/1994;Sega;5;Home video game console;;;1
95;SG-1000;;15/07/1983;Sega;3;Home video game console;;;1
178;Sharp MZ;;1978;Sharp;;Computer;;;1
132;SHG Black Point;S.H.G. Black Point, Black Point;1982;S�ddeutsche Elektro-Hausger�te GmbH & Co. KG;2;Home video game console;;;1
217;Sinclair QL;;abr-86;Sinclair Research;;Computer;;;1
84;SNES;Super Nintendo Entertainment System, Super Famicom, SFC;21/11/1990;Nintendo;4;Home video game console;SNES/SFC;;1
165;Sol-20;;1976;Processor Technology;;Computer;;;1
200;Sord M5;CGL M5, Game M5;1982;Sord Computer Corporation;;Computer;;;1
5;Steam Deck;;25/02/2022;Valve;9;Handheld console;;;0
104;Super Cassette Vision;;17/07/1984;Epoch Co.;3;Home video game console;;;1
143;Super Play Computer 4000;;;Grundig;2;Home video game console;Interton VC-4000, 1292 Advanced Programmable Video System;;1
186;Tandy Color Computer;TRS-80 Color Computer, CoCo;sep-80;Tandy;;Computer;;;1
50;Tapwave Zodiac;;26/07/2005;Tapwave;6;Handheld console;;;1
